City,City_Lat,City_Long
ADELAIDE,-34.9275,138.6000
ALICE SPRINGS,-23.7000,133.8667
ALBURY,-36.0733,146.9144
BRISBANE,-27.4678,153.0278
CANBERRA,-35.2931,149.1269
DARWIN,-12.4381,130.8411
BROOME,-17.9619,122.2361
GOLD COAST,-28.0167,153.4000
MELBOURNE,-37.8142,144.9631
COFFS HARBOUR,-30.3023,153.1189
PERTH,-31.9559,115.8606
SYDNEY,-33.8678,151.2100
DEVONPORT,-41.1800,146.3503
CAIRNS,-16.9256,145.7753
DUBBO,-32.2483,148.6011
MACKAY,-21.1411,149.1861
PROSERPINE,-20.4042,148.5833
HOBART,-42.8833,147.3167
ROCKHAMPTON,-23.3790,150.5109
KALGOORLIE,-30.7489,121.4661
TOWNSVILLE,-19.2622,146.8158
KARRATHA,-20.7364,116.8460
BURNIE,-41.0636,145.8919
LAUNCESTON,-41.4444,147.1378
MILDURA,-34.2111,142.1338
NEWCASTLE,-32.9167,151.7500
WAGGA WAGGA,-35.1194,147.3667
SUNSHINE COAST,-26.6500,153.0670
PORT LINCOLN,-34.7322,135.8608
HAMILTON ISLAND,-20.35150122,148.9489892
PORT HEDLAND,-20.3100,118.6011
BALLINA,-28.8417,153.5610
HERVEY BAY,-25.2853,152.8728
NEWMAN,-23.3539,119.7320
PORT MACQUARIE,-31.4317,152.9178
GLADSTONE,-23.8436,151.2519
EMERALD,-23.5283,148.1578
MOUNT ISA,-20.7253,139.4950
AYERS ROCK,-25.19034833,130.9763039
MORANBAH,-22.0003,148.0489
GERALDTON,-28.7792,114.6144
BUNDABERG,-24.8500,152.3500
ARMIDALE,-30.5000,151.6667
TAMWORTH,-31.0906,150.9317
